source,titre,prix,type_annonce,ville,quartier,nb_chambres,nb_sdb,surface_m2,date_publication,date_scraping,url,image_url
mauri-home.com,للإيجار للمؤسسات,60000 MRU,Location,Nouakchott,Tevragh Zeina,1,1,Non spécifié,Non spécifiée,2026-02-14,Non spécifié,https://wsrv.nl/?url=https%3A%2F%2Fvoursa-prod.s3.amazonaws.com%2Fimages%2F1770578345845_1000292793.jpg&w=500&q=85&output=webp
mauri-home.com,APPARTEMENT MEUBLE A LOUER,4000 MRU,Location,Nouakchott,Tevragh Zeina,1,1,Non spécifié,Non spécifiée,2026-02-14,Non spécifié,https://wsrv.nl/?url=https%3A%2F%2Funtoitenrim.com%2Fimages%2Fannonces%2F68802e4822758_main.jpg&w=500&q=85&output=webp
mauri-home.com,VILLA DUPLEX A LOUER,180000 MRU,Location,Nouakchott,Tevragh Zeina,4,1,Non spécifié,Non spécifiée,2026-02-14,Non spécifié,https://wsrv.nl/?url=https%3A%2F%2Funtoitenrim.com%2Fimages%2Fannonces%2F68633f828939f_main.jpg&w=500&q=85&output=webp
mauri-home.com,VILLA DUPLEX MEUBLEE A LOUER,70000 MRU,Location,Nouakchott,Tevragh Zeina,3,1,Non spécifié,Non spécifiée,2026-02-14,Non spécifié,https://wsrv.nl/?url=https%3A%2F%2Funtoitenrim.com%2Fimages%2Fannonces%2F6875afb1cf46f_main.jpeg&w=500&q=85&output=webp
mauri-home.com,VILLA DUPLEX MEUBLEE A LOUER,200000 MRU,Location,Nouakchott,Tevragh Zeina,6,1,Non spécifié,Non spécifiée,2026-02-14,Non spécifié,https://wsrv.nl/?url=https%3A%2F%2Funtoitenrim.com%2Fimages%2Fannonces%2F68633ce6d8bca_main.jpg&w=500&q=85&output=webp
mauri-home.com,MAISON EN VENTE AVEC TITRE FONCIER,5600000 MRU,Location,Nouakchott,Tevragh Zeina,1,1,Non spécifié,Non spécifiée,2026-02-14,Non spécifié,https://wsrv.nl/?url=https%3A%2F%2Funtoitenrim.com%2Fimages%2Fannonces%2F6866c219557ae_main.jpeg&w=500&q=85&output=webp
mauri-home.com,VILLA DUPLEX A LOUER,150000 MRU,Location,Nouakchott,Tevragh Zeina,4,1,Non spécifié,Non spécifiée,2026-02-14,Non spécifié,https://wsrv.nl/?url=https%3A%2F%2Funtoitenrim.com%2Fimages%2Fannonces%2F68633f1b82f8a_main.jpg&w=500&q=85&output=webp
mauri-home.com,APPARTEMENT MEUBLE A LOUER,40000 MRU,Location,Nouakchott,Tevragh Zeina,1,1,Non spécifié,Non spécifiée,2026-02-14,Non spécifié,https://wsrv.nl/?url=https%3A%2F%2Funtoitenrim.com%2Fimages%2Fannonces%2F6861d2c8ccc0d_main.jpeg&w=500&q=85&output=webp
mauri-home.com,GRANDE VILLA TRIPLEX A LOUER,150000 MRU,Location,Nouakchott,Tevragh Zeina,1,1,Non spécifié,Non spécifiée,2026-02-14,Non spécifié,https://wsrv.nl/?url=https%3A%2F%2Funtoitenrim.com%2Fimages%2Fannonces%2F68687a6b19e9c_main.jpg&w=500&q=85&output=webp
mauri-home.com,DUPLEX 4 PIECES A LOUER,20000 MRU,Location,Nouakchott,Tevragh Zeina,3,1,Non spécifié,Non spécifiée,2026-02-14,Non spécifié,https://wsrv.nl/?url=https%3A%2F%2Funtoitenrim.com%2Fimages%2Fannonces%2F6861c69704d49_main.jpeg&w=500&q=85&output=webp
mauri-home.com,VILLA DUPLEX 5 PIECES AVEC PISCINE A LOUER,80000 MRU,Location,Nouakchott,Tevragh Zeina,1,1,Non spécifié,Non spécifiée,2026-02-14,Non spécifié,https://wsrv.nl/?url=https%3A%2F%2Funtoitenrim.com%2Fimages%2Fannonces%2F686463f07c404_main.jpg&w=500&q=85&output=webp
mauri-home.com,APPARTEMENTS MEUBLES A LOUER,65000 MRU,Location,Nouakchott,Tevragh Zeina,2,1,Non spécifié,Non spécifiée,2026-02-14,Non spécifié,https://wsrv.nl/?url=https%3A%2F%2Funtoitenrim.com%2Fimages%2Fannonces%2F6861e2f786ca5_main.jpeg&w=500&q=85&output=webp
mauri-home.com,APPARTEMENTS MEUBLES A LOUER,45000 MRU,Location,Nouakchott,Tevragh Zeina,2,1,Non spécifié,Non spécifiée,2026-02-14,Non spécifié,https://wsrv.nl/?url=https%3A%2F%2Funtoitenrim.com%2Fimages%2Fannonces%2F6861cf74b8240_main.jpeg&w=500&q=85&output=webp
mauri-home.com,فيه دار لأجار قرب ديار تاتا  كبير مناسب للمكاتب,40000 MRU,Location,Nouakchott,Tevragh Zeina,12,7,Non spécifié,Non spécifiée,2026-02-14,Non spécifié,https://wsrv.nl/?url=https%3A%2F%2Fvoursa-prod.s3.amazonaws.com%2Fimages%2F1770458775290_1000409649.jpg&w=500&q=85&output=webp
mauri-home.com,VILLA A LOUER,16000 MRU,Location,Nouakchott,Tevragh Zeina,2,1,Non spécifié,Non spécifiée,2026-02-14,Non spécifié,https://wsrv.nl/?url=https%3A%2F%2Funtoitenrim.com%2Fimages%2Fannonces%2F68937e1268690_main.jpeg&w=500&q=85&output=webp
mauri-home.com,VILLA TRIPLEX 13 PIECES AVEC PISCINE A LOUER,150000 MRU,Location,Nouakchott,Tevragh Zeina,11,1,Non spécifié,Non spécifiée,2026-02-14,Non spécifié,https://wsrv.nl/?url=https%3A%2F%2Funtoitenrim.com%2Fimages%2Fannonces%2F6864292fb3681_main.jpg&w=500&q=85&output=webp
mauri-home.com,STUDIO MEUBLE A LOUER,45000 MRU,Location,Nouakchott,Tevragh Zeina,1,1,Non spécifié,Non spécifiée,2026-02-14,Non spécifié,https://wsrv.nl/?url=https%3A%2F%2Funtoitenrim.com%2Fimages%2Fannonces%2F6861e26028a9f_main.jpeg&w=500&q=85&output=webp
mauri-home.com,APPARTEMENT A LOUER,15000 MRU,Location,Nouakchott,Tevragh Zeina,3,1,Non spécifié,Non spécifiée,2026-02-14,Non spécifié,https://wsrv.nl/?url=https%3A%2F%2Funtoitenrim.com%2Fimages%2Fannonces%2F68632d5f261b5_main.jpeg&w=500&q=85&output=webp
mauri-home.com,APPARTEMENT A LOUER MEUBLE,20000 MRU,Location,Nouakchott,Tevragh Zeina,1,1,Non spécifié,Non spécifiée,2026-02-14,Non spécifié,https://wsrv.nl/?url=https%3A%2F%2Funtoitenrim.com%2Fimages%2Fannonces%2F68937c11d24e2_main.jpeg&w=500&q=85&output=webp
mauri-home.com,VILLA TRIPLEX HAUT STANDING AVEC PISCINE A LOUER,150000 MRU,Location,Nouakchott,Tevragh Zeina,2,1,600 m²,Non spécifiée,2026-02-14,Non spécifié,https://wsrv.nl/?url=https%3A%2F%2Funtoitenrim.com%2Fimages%2Fannonces%2F6861c7bb0f7e4_main.jpeg&w=500&q=85&output=webp
